State,Year,District,Murder,Attempt to Commit Murder ,Hurt,Assault on Women ,Kidnapping and Abduction,Rape,Offences Affecting the Human Body,Rioting,Theft,Burglary,Extortion & Blackmailing,Robbery,Offences against Property,"Forgery, Cheating & Fraud",Offences Relating to Documents & Property Marks,Rash Driving on Public way,Obstruction on Public way,Arson,Criminal Trespass,Cruelty by Husband or his Relatives,Circulate False/Fake News/Rumours,Criminal Intimidation,Miscellaneous IPC Crimes,Other IPC Crimes,Total Cognizable IPC crimes
Tamil Nadu,2020,Pudukottai,36,75,738,51,18,7,1096,72,155,94,12,38,334,99,102,921,0,25,5,19,0,38,1009,8866,11731
Tamil Nadu,2017,Railway Chennai,1,7,50,4,0,0,63,3,1395,0,1,136,1533,5,6,2,0,0,0,0,0,0,2,23,1630
Tamil Nadu,2018,Railway Chennai,3,1,86,3,1,2,103,22,3943,0,0,191,4138,8,8,5,0,0,0,1,0,0,6,36,4313
Tamil Nadu,2019,Railway Chennai,9,7,70,5,4,1,104,7,3884,0,4,147,4037,9,9,2,0,0,0,0,0,6,8,44,4209
Tamil Nadu,2020,Railway Chennai,2,7,28,1,1,0,51,5,1097,0,0,39,1137,1,1,2,0,0,0,0,0,0,2,27,1223
Tamil Nadu,2017,Railway Trichy,0,3,19,1,0,0,25,2,368,0,0,18,386,2,2,1,0,0,0,0,0,0,1,16,432
Tamil Nadu,2018,Railway Trichy,3,1,50,0,1,0,56,0,700,0,0,53,753,2,2,4,0,0,0,0,0,0,4,5,820
Tamil Nadu,2019,Railway Trichy,2,1,35,1,0,1,42,1,518,0,0,34,553,3,3,1,0,0,0,0,0,3,4,16,619
Tamil Nadu,2020,Railway Trichy,1,0,22,0,0,0,25,1,110,0,0,6,116,0,0,0,0,0,0,0,0,1,2,7,151
Tamil Nadu,2017,Ramnathapuram,33,104,1078,9,19,6,1546,61,161,111,7,13,307,23,25,714,0,13,7,10,0,160,1570,60,3614
Tamil Nadu,2018,Ramnathapuram,37,69,979,1,17,7,1431,84,143,100,4,33,288,31,32,694,0,18,17,2,0,174,1087,78,3005
Tamil Nadu,2019,Ramnathapuram,49,81,1077,7,28,13,1553,90,150,116,8,32,318,65,67,733,0,8,9,7,1,189,1233,40,3332
Tamil Nadu,2020,Ramnathapuram,41,103,1386,23,20,15,1889,144,181,123,0,41,357,81,82,730,0,31,0,9,0,207,1050,151,3858
Tamil Nadu,2020,Ranipet,19,19,261,6,3,3,512,6,151,28,0,31,216,41,41,618,0,0,0,3,0,0,621,5756,7153
Tamil Nadu,2017,Salem,44,58,1303,63,33,8,2098,88,124,77,0,37,243,39,40,1667,0,12,12,12,0,0,1703,559,4732
Tamil Nadu,2018,Salem,44,44,1845,55,35,3,2552,75,151,67,0,35,257,44,45,1650,0,12,63,5,0,2,1785,513,5265
Tamil Nadu,2019,Salem,42,29,1519,46,23,5,1978,71,122,64,0,29,230,34,37,1637,0,6,13,5,0,0,1661,551,4528
Tamil Nadu,2020,Salem,51,40,1595,68,40,6,2080,90,121,67,0,12,204,34,34,1207,0,9,0,4,0,0,1220,7547,11175
Tamil Nadu,2017,Salem City,21,27,872,1,4,0,1138,22,164,56,25,53,305,26,26,785,264,0,0,2,0,0,1395,127,3023
Tamil Nadu,2018,Salem City,18,23,730,4,14,3,935,22,200,58,53,53,376,40,41,769,203,3,5,9,0,0,1195,103,2686
Tamil Nadu,2019,Salem City,26,36,455,7,20,5,781,22,234,71,20,67,396,50,51,716,209,0,4,23,0,0,1027,126,2415
Tamil Nadu,2020,Salem City,27,42,313,4,11,1,521,16,175,94,90,43,415,33,33,519,0,0,1,9,0,0,530,9501,11049
Tamil Nadu,2017,Sivagangai,33,65,2114,14,25,9,2575,71,181,141,69,60,473,86,89,828,0,8,0,45,0,0,881,246,4453
Tamil Nadu,2018,Sivagangai,33,52,1470,4,95,6,1932,74,136,116,36,62,361,105,106,628,0,13,0,32,0,0,1463,223,4204
Tamil Nadu,2019,Sivagangai,46,67,1661,6,56,8,2113,86,147,121,32,61,372,119,121,727,0,10,0,27,0,0,996,171,3934
Tamil Nadu,2020,Sivagangai,23,50,1163,18,34,9,1474,135,134,80,14,46,284,65,65,651,0,13,0,24,0,10,908,6639,9531
Tamil Nadu,2020,Tenkasi,31,50,1041,5,3,6,1301,4,149,64,9,7,232,63,66,633,60,18,0,6,14,103,1089,3124,6166
Tamil Nadu,2017,Thanjavur,65,87,1835,26,47,10,2505,122,290,139,0,91,550,28,28,1692,0,22,0,12,0,167,2212,0,5708
Tamil Nadu,2018,Thanjavur,63,85,1623,44,44,9,2110,123,233,100,126,58,615,31,33,1835,28,20,37,21,5,231,2658,0,5906
Tamil Nadu,2019,Thanjavur,64,76,1672,39,42,11,2094,107,178,81,153,52,487,35,44,1447,0,22,26,17,19,672,2602,123,5746
Tamil Nadu,2020,Thanjavur,81,105,1818,84,13,3,2281,171,181,140,184,52,586,48,48,1026,0,20,3,21,16,648,2135,37488,43003
Tamil Nadu,2017,Theni,29,41,836,2,6,4,1182,74,213,100,128,11,455,71,74,824,0,8,34,70,0,376,1440,850,4101
Tamil Nadu,2018,Theni,36,52,434,8,7,3,820,52,179,106,29,15,333,114,117,837,0,3,49,48,0,672,1666,617,3672
Tamil Nadu,2019,Theni,37,55,991,5,3,10,1345,63,154,92,29,6,281,83,86,785,0,13,39,46,0,630,1551,42,3424
Tamil Nadu,2020,Theni,33,39,946,6,2,5,1203,64,88,75,5,12,183,47,47,678,0,6,41,15,6,615,2025,28957,32589
Tamil Nadu,2017,Thirunelveli,75,196,2450,19,21,18,3301,16,480,283,173,23,969,173,175,1449,1,42,27,36,3,123,2730,424,8087
Tamil Nadu,2018,Thirunelveli,61,223,4143,21,23,28,5006,96,440,310,151,18,927,148,151,1684,0,45,23,26,10,35,2353,860,9482
Tamil Nadu,2019,Thirunelveli,58,181,4338,25,18,19,5120,40,385,273,90,34,791,131,134,1537,0,39,7,14,9,42,2073,994,9252
Tamil Nadu,2020,Thirunelveli,40,135,1516,14,6,8,1921,17,189,132,28,18,378,46,48,573,24,31,21,12,4,104,958,5683,9063
Tamil Nadu,2017,Thirunelveli City,13,67,250,7,9,3,427,0,361,34,32,42,471,52,58,275,0,7,13,5,0,34,442,52,1458
Tamil Nadu,2018,Thirunelveli City,13,52,142,3,6,3,290,0,281,63,25,36,405,81,81,310,0,4,11,3,0,6,422,257,1455
Tamil Nadu,2019,Thirunelveli City,16,50,235,4,2,5,443,0,207,35,1,26,269,65,65,293,2,3,19,2,0,0,338,36,1171
Tamil Nadu,2020,Thirunelveli City,14,45,288,5,5,2,420,0,269,77,6,30,384,98,102,239,3,9,8,11,7,0,287,5953,7147
Tamil Nadu,2017,Thiruvallur,41,53,600,2,4,7,1520,76,262,137,0,29,432,68,68,954,0,0,0,13,0,162,1214,391,3715
Tamil Nadu,2018,Thiruvallur,33,54,834,1,4,11,1597,90,345,140,10,24,596,51,52,981,0,10,43,11,1,147,2102,59,4505
